lock_path,name,version,relationship,development,optional,declared_license,registry_source,missing_license_metadata,review_note
"node_modules/@rolldown/binding-win32-arm64-msvc","@rolldown/binding-win32-arm64-msvc","1.1.5","transitive","true","true","MIT","https://registry.npmjs.org/@rolldown/binding-win32-arm64-msvc/-/binding-win32-arm64-msvc-1.1.5.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/@rolldown/binding-win32-x64-msvc","@rolldown/binding-win32-x64-msvc","1.1.5","transitive","true","true","MIT","https://registry.npmjs.org/@rolldown/binding-win32-x64-msvc/-/binding-win32-x64-msvc-1.1.5.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/@rolldown/pluginutils","@rolldown/pluginutils","1.0.1","transitive","true","false","MIT","https://registry.npmjs.org/@rolldown/pluginutils/-/pluginutils-1.0.1.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/@sec-ant/readable-stream","@sec-ant/readable-stream","0.4.1","transitive","false","false","MIT","https://registry.npmjs.org/@sec-ant/readable-stream/-/readable-stream-0.4.1.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/@sindresorhus/merge-streams","@sindresorhus/merge-streams","4.0.0","transitive","false","false","MIT","https://registry.npmjs.org/@sindresorhus/merge-streams/-/merge-streams-4.0.0.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/@standard-schema/spec","@standard-schema/spec","1.1.0","transitive","true","false","MIT","https://registry.npmjs.org/@standard-schema/spec/-/spec-1.1.0.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/@tybys/wasm-util","@tybys/wasm-util","0.10.3","transitive","true","true","MIT","https://registry.npmjs.org/@tybys/wasm-util/-/wasm-util-0.10.3.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/@types/chai","@types/chai","5.2.3","transitive","true","false","MIT","https://registry.npmjs.org/@types/chai/-/chai-5.2.3.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/@types/deep-eql","@types/deep-eql","4.0.2","transitive","true","false","MIT","https://registry.npmjs.org/@types/deep-eql/-/deep-eql-4.0.2.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/@types/estree","@types/estree","1.0.9","transitive","true","false","MIT","https://registry.npmjs.org/@types/estree/-/estree-1.0.9.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/@types/node","@types/node","22.20.1","direct development","true","false","MIT","https://registry.npmjs.org/@types/node/-/node-22.20.1.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/@vitest/expect","@vitest/expect","4.1.10","transitive","true","false","MIT","https://registry.npmjs.org/@vitest/expect/-/expect-4.1.10.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/@vitest/mocker","@vitest/mocker","4.1.10","transitive","true","false","MIT","https://registry.npmjs.org/@vitest/mocker/-/mocker-4.1.10.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/@vitest/pretty-format","@vitest/pretty-format","4.1.10","transitive","true","false","MIT","https://registry.npmjs.org/@vitest/pretty-format/-/pretty-format-4.1.10.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/@vitest/runner","@vitest/runner","4.1.10","transitive","true","false","MIT","https://registry.npmjs.org/@vitest/runner/-/runner-4.1.10.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/@vitest/snapshot","@vitest/snapshot","4.1.10","transitive","true","false","MIT","https://registry.npmjs.org/@vitest/snapshot/-/snapshot-4.1.10.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/@vitest/spy","@vitest/spy","4.1.10","transitive","true","false","MIT","https://registry.npmjs.org/@vitest/spy/-/spy-4.1.10.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/@vitest/utils","@vitest/utils","4.1.10","transitive","true","false","MIT","https://registry.npmjs.org/@vitest/utils/-/utils-4.1.10.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/assertion-error","assertion-error","2.0.1","transitive","true","false","MIT","https://registry.npmjs.org/assertion-error/-/assertion-error-2.0.1.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/chai","chai","6.2.2","transitive","true","false","MIT","https://registry.npmjs.org/chai/-/chai-6.2.2.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/commander","commander","13.1.0","direct runtime","false","false","MIT","https://registry.npmjs.org/commander/-/commander-13.1.0.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/convert-source-map","convert-source-map","2.0.0","transitive","true","false","MIT","https://registry.npmjs.org/convert-source-map/-/convert-source-map-2.0.0.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/cross-spawn","cross-spawn","7.0.6","transitive","false","false","MIT","https://registry.npmjs.org/cross-spawn/-/cross-spawn-7.0.6.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/detect-libc","detect-libc","2.1.2","transitive","true","false","Apache-2.0","https://registry.npmjs.org/detect-libc/-/detect-libc-2.1.2.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/es-module-lexer","es-module-lexer","2.3.1","transitive","true","false","MIT","https://registry.npmjs.org/es-module-lexer/-/es-module-lexer-2.3.1.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/estree-walker","estree-walker","3.0.3","transitive","true","false","MIT","https://registry.npmjs.org/estree-walker/-/estree-walker-3.0.3.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/execa","execa","9.6.1","direct runtime","false","false","MIT","https://registry.npmjs.org/execa/-/execa-9.6.1.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/expect-type","expect-type","1.4.0","transitive","true","false","Apache-2.0","https://registry.npmjs.org/expect-type/-/expect-type-1.4.0.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/fdir","fdir","6.5.0","transitive","true","false","MIT","https://registry.npmjs.org/fdir/-/fdir-6.5.0.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/figures","figures","6.1.0","transitive","false","false","MIT","https://registry.npmjs.org/figures/-/figures-6.1.0.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/fsevents","fsevents","2.3.3","transitive","true","true","MIT","https://registry.npmjs.org/fsevents/-/fsevents-2.3.3.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/get-stream","get-stream","9.0.1","transitive","false","false","MIT","https://registry.npmjs.org/get-stream/-/get-stream-9.0.1.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/human-signals","human-signals","8.0.1","transitive","false","false","Apache-2.0","https://registry.npmjs.org/human-signals/-/human-signals-8.0.1.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/is-plain-obj","is-plain-obj","4.1.0","transitive","false","false","MIT","https://registry.npmjs.org/is-plain-obj/-/is-plain-obj-4.1.0.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/is-stream","is-stream","4.0.1","transitive","false","false","MIT","https://registry.npmjs.org/is-stream/-/is-stream-4.0.1.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/is-unicode-supported","is-unicode-supported","2.1.0","transitive","false","false","MIT","https://registry.npmjs.org/is-unicode-supported/-/is-unicode-supported-2.1.0.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/isexe","isexe","2.0.0","transitive","false","false","ISC","https://registry.npmjs.org/isexe/-/isexe-2.0.0.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/lightningcss","lightningcss","1.32.0","transitive","true","false","MPL-2.0","https://registry.npmjs.org/lightningcss/-/lightningcss-1.32.0.tgz","false","MPL-2.0 metadata; legal compatibility remains human review"
"node_modules/lightningcss-android-arm64","lightningcss-android-arm64","1.32.0","transitive","true","true","MPL-2.0","https://registry.npmjs.org/lightningcss-android-arm64/-/lightningcss-android-arm64-1.32.0.tgz","false","MPL-2.0 metadata; legal compatibility remains human review"
"node_modules/lightningcss-darwin-arm64","lightningcss-darwin-arm64","1.32.0","transitive","true","true","MPL-2.0","https://registry.npmjs.org/lightningcss-darwin-arm64/-/lightningcss-darwin-arm64-1.32.0.tgz","false","MPL-2.0 metadata; legal compatibility remains human review"
"node_modules/lightningcss-darwin-x64","lightningcss-darwin-x64","1.32.0","transitive","true","true","MPL-2.0","https://registry.npmjs.org/lightningcss-darwin-x64/-/lightningcss-darwin-x64-1.32.0.tgz","false","MPL-2.0 metadata; legal compatibility remains human review"
"node_modules/lightningcss-freebsd-x64","lightningcss-freebsd-x64","1.32.0","transitive","true","true","MPL-2.0","https://registry.npmjs.org/lightningcss-freebsd-x64/-/lightningcss-freebsd-x64-1.32.0.tgz","false","MPL-2.0 metadata; legal compatibility remains human review"
"node_modules/lightningcss-linux-arm-gnueabihf","lightningcss-linux-arm-gnueabihf","1.32.0","transitive","true","true","MPL-2.0","https://registry.npmjs.org/lightningcss-linux-arm-gnueabihf/-/lightningcss-linux-arm-gnueabihf-1.32.0.tgz","false","MPL-2.0 metadata; legal compatibility remains human review"
"node_modules/lightningcss-linux-arm64-gnu","lightningcss-linux-arm64-gnu","1.32.0","transitive","true","true","MPL-2.0","https://registry.npmjs.org/lightningcss-linux-arm64-gnu/-/lightningcss-linux-arm64-gnu-1.32.0.tgz","false","MPL-2.0 metadata; legal compatibility remains human review"
"node_modules/lightningcss-linux-arm64-musl","lightningcss-linux-arm64-musl","1.32.0","transitive","true","true","MPL-2.0","https://registry.npmjs.org/lightningcss-linux-arm64-musl/-/lightningcss-linux-arm64-musl-1.32.0.tgz","false","MPL-2.0 metadata; legal compatibility remains human review"
"node_modules/lightningcss-linux-x64-gnu","lightningcss-linux-x64-gnu","1.32.0","transitive","true","true","MPL-2.0","https://registry.npmjs.org/lightningcss-linux-x64-gnu/-/lightningcss-linux-x64-gnu-1.32.0.tgz","false","MPL-2.0 metadata; legal compatibility remains human review"
"node_modules/lightningcss-linux-x64-musl","lightningcss-linux-x64-musl","1.32.0","transitive","true","true","MPL-2.0","https://registry.npmjs.org/lightningcss-linux-x64-musl/-/lightningcss-linux-x64-musl-1.32.0.tgz","false","MPL-2.0 metadata; legal compatibility remains human review"
"node_modules/lightningcss-win32-arm64-msvc","lightningcss-win32-arm64-msvc","1.32.0","transitive","true","true","MPL-2.0","https://registry.npmjs.org/lightningcss-win32-arm64-msvc/-/lightningcss-win32-arm64-msvc-1.32.0.tgz","false","MPL-2.0 metadata; legal compatibility remains human review"
"node_modules/lightningcss-win32-x64-msvc","lightningcss-win32-x64-msvc","1.32.0","transitive","true","true","MPL-2.0","https://registry.npmjs.org/lightningcss-win32-x64-msvc/-/lightningcss-win32-x64-msvc-1.32.0.tgz","false","MPL-2.0 metadata; legal compatibility remains human review"
"node_modules/magic-string","magic-string","0.30.21","transitive","true","false","MIT","https://registry.npmjs.org/magic-string/-/magic-string-0.30.21.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/nanoid","nanoid","3.3.16","transitive","true","false","MIT","https://registry.npmjs.org/nanoid/-/nanoid-3.3.16.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/npm-run-path","npm-run-path","6.0.0","transitive","false","false","MIT","https://registry.npmjs.org/npm-run-path/-/npm-run-path-6.0.0.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/npm-run-path/node_modules/path-key","npm-run-path > path-key","4.0.0","transitive","false","false","MIT","https://registry.npmjs.org/path-key/-/path-key-4.0.0.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/obug","obug","2.1.4","transitive","true","false","MIT","https://registry.npmjs.org/obug/-/obug-2.1.4.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/parse-ms","parse-ms","4.0.0","transitive","false","false","MIT","https://registry.npmjs.org/parse-ms/-/parse-ms-4.0.0.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/path-key","path-key","3.1.1","transitive","false","false","MIT","https://registry.npmjs.org/path-key/-/path-key-3.1.1.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/pathe","pathe","2.0.3","transitive","true","false","MIT","https://registry.npmjs.org/pathe/-/pathe-2.0.3.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/picocolors","picocolors","1.1.1","transitive","true","false","ISC","https://registry.npmjs.org/picocolors/-/picocolors-1.1.1.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/picomatch","picomatch","4.0.5","transitive","true","false","MIT","https://registry.npmjs.org/picomatch/-/picomatch-4.0.5.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/postcss","postcss","8.5.19","transitive","true","false","MIT","https://registry.npmjs.org/postcss/-/postcss-8.5.19.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/pretty-ms","pretty-ms","9.3.0","transitive","false","false","MIT","https://registry.npmjs.org/pretty-ms/-/pretty-ms-9.3.0.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/rolldown","rolldown","1.1.5","transitive","true","false","MIT","https://registry.npmjs.org/rolldown/-/rolldown-1.1.5.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/shebang-command","shebang-command","2.0.0","transitive","false","false","MIT","https://registry.npmjs.org/shebang-command/-/shebang-command-2.0.0.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/shebang-regex","shebang-regex","3.0.0","transitive","false","false","MIT","https://registry.npmjs.org/shebang-regex/-/shebang-regex-3.0.0.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/siginfo","siginfo","2.0.0","transitive","true","false","ISC","https://registry.npmjs.org/siginfo/-/siginfo-2.0.0.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/signal-exit","signal-exit","4.1.0","transitive","false","false","ISC","https://registry.npmjs.org/signal-exit/-/signal-exit-4.1.0.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/source-map-js","source-map-js","1.2.1","transitive","true","false","BSD-3-Clause","https://registry.npmjs.org/source-map-js/-/source-map-js-1.2.1.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/stackback","stackback","0.0.2","transitive","true","false","MIT","https://registry.npmjs.org/stackback/-/stackback-0.0.2.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/std-env","std-env","4.2.0","transitive","true","false","MIT","https://registry.npmjs.org/std-env/-/std-env-4.2.0.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/strip-final-newline","strip-final-newline","4.0.0","transitive","false","false","MIT","https://registry.npmjs.org/strip-final-newline/-/strip-final-newline-4.0.0.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/tinybench","tinybench","2.9.0","transitive","true","false","MIT","https://registry.npmjs.org/tinybench/-/tinybench-2.9.0.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/tinyexec","tinyexec","1.2.4","transitive","true","false","MIT","https://registry.npmjs.org/tinyexec/-/tinyexec-1.2.4.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/tinyglobby","tinyglobby","0.2.17","transitive","true","false","MIT","https://registry.npmjs.org/tinyglobby/-/tinyglobby-0.2.17.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/tinyrainbow","tinyrainbow","3.1.0","transitive","true","false","MIT","https://registry.npmjs.org/tinyrainbow/-/tinyrainbow-3.1.0.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/tslib","tslib","2.8.1","transitive","true","true","0BSD","https://registry.npmjs.org/tslib/-/tslib-2.8.1.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/typescript","typescript","5.9.3","direct development","true","false","Apache-2.0","https://registry.npmjs.org/typescript/-/typescript-5.9.3.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/undici-types","undici-types","6.21.0","transitive","true","false","MIT","https://registry.npmjs.org/undici-types/-/undici-types-6.21.0.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/unicorn-magic","unicorn-magic","0.3.0","transitive","false","false","MIT","https://registry.npmjs.org/unicorn-magic/-/unicorn-magic-0.3.0.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/vite","vite","8.1.5","transitive","true","false","MIT","https://registry.npmjs.org/vite/-/vite-8.1.5.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/vitest","vitest","4.1.10","direct development","true","false","MIT","https://registry.npmjs.org/vitest/-/vitest-4.1.10.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/which","which","2.0.2","transitive","false","false","ISC","https://registry.npmjs.org/which/-/which-2.0.2.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/why-is-node-running","why-is-node-running","2.3.0","transitive","true","false","MIT","https://registry.npmjs.org/why-is-node-running/-/why-is-node-running-2.3.0.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/yoctocolors","yoctocolors","2.1.2","transitive","false","false","MIT","https://registry.npmjs.org/yoctocolors/-/yoctocolors-2.1.2.tgz","false","metadata reviewed; legal compatibility remains human review"
"node_modules/zod","zod","3.25.76","direct runtime","false","false","MIT","https://registry.npmjs.org/zod/-/zod-3.25.76.tgz","false","metadata reviewed; legal compatibility remains human review"
